Episode;Step;Reward
0;36;-0.0061888293266296746
0;73;-0.006634791278839147
0;110;-0.006817360305786169
0;147;-0.006717164897918737
0;184;-0.0063365296363830925
0;221;-0.005703051471710241
0;258;-0.004867930793762243
0;36;-0.0035435751914978386
0;73;-0.004531343364715612
0;110;-0.005398233318328893
0;147;-0.006083746337890661
0;184;-0.006539423847198522
0;221;-0.006729205036163366
0;258;-0.006634433650970495
0;295;-0.0062605337142944695
0;332;-0.005637545967102087
0;369;-0.004818220520019567
0;406;-0.0038712815284729363
0;443;-0.0028684929847717644
0;480;-0.0018757180213928581
0;517;-0.0009558395385742546
0;554;-0.0001746610641479851
0;591;0.00040165624618526685
0;628;0.0007216139793395637
0;665;0.0007629199981689094
0;702;0.0005316539764403938
0;739;4.951200485225904e-05
0;776;-0.0006529883384704949
0;813;-0.0015309647560119988
0;850;-0.0025206402778625847
0;887;-0.0035469130516052605
0;924;-0.0045332507133484246
0;961;-0.005408127689361608
0;998;-0.006109972381591833
0;1035;-0.006589312934875524
0;1072;-0.006808956050872839
0;1109;-0.006747324848175085
0;1146;-0.006403704071044958
0;1183;-0.005801756763458288
0;1220;-0.0049902395248413445
0;1257;-0.004033942604064977
0;1294;-0.0030026034355163933
0;1331;-0.0019647673606872917
0;1368;-0.0009903506278992058
0;1405;-0.00015028276443485034
0;1442;0.0004899903297423958
0;36;-0.0026508764266968132
0;73;-0.0016684130668640496
0;110;-0.0007729128837585808
0;147;-3.053703308109057e-05
0;184;0.0004938050270080208
0;221;0.0007543369293212532
0;258;0.0007352634429931282
0;295;0.0004478498458861946
0;332;-8.495607376102221e-05
0;369;-0.0008298949241638542
0;406;-0.0017378524780273796
0;443;-0.0027421311378479363
0;480;-0.003766138935089147
0;517;-0.004734118366241491
0;554;-0.005576510810852087
0;591;-0.006234009647369421
0;628;-0.006659825229644811
0;665;-0.00681980409622196
0;702;-0.006696601295471227
0;739;-0.006294091129303014
0;776;-0.005641956710815466
0;813;-0.004793305778503454
0;850;-0.003814955139160192
0;887;-0.002776403808593786
0;924;-0.0017462567329407097
0;961;-0.0007949069976806999
0;998;7.0734977721809145e-06
0;1035;0.0005971594810485481
0;1072;0.0009310647010802864
0;1109;0.000987927532196009
0;1146;0.0007685824394225715
0;1183;0.0002893610954284309
0;1220;-0.0004181460380554558
0;1257;-0.0013043478965759636
0;1294;-0.002303679370880163
0;1331;-0.003342647933959997
0;1368;-0.004345913314819372
0;1405;-0.005241413497924841
0;1442;-0.005966563606262243
0;1479;-0.006470461273193395
0;1516;-0.0067141846656799675
0;1553;-0.006675382041931188
0;1590;-0.006354351425170934
0;1627;-0.005776484394073522
0;1664;-0.004990537548065221
0;1701;-0.004062791252136266
0;1738;-0.003065426731109655
0;1775;-0.002065797233581579
0;1812;-0.0011267260551452996
0;1849;-0.0003131226539612175
0;1886;0.0003080173492431282
0;1923;0.0006807847976684211
0;1960;0.0007766886711120247
0;1997;0.0005972786903380989
0;2034;0.00016210517883297193
0;2071;-0.0005003408432007195
0;2108;-0.001348514938354528
0;2145;-0.002322156810760534
0;2182;-0.003347416305542028
0;2219;-0.00434722461700443
0;2256;-0.005249162101745641
0;2293;-0.005989153766632116
0;2330;-0.006515164756774938
0;2367;-0.0067877367973327996
0;2404;-0.006781955146789587
0;2441;-0.006492097759246862
0;2478;-0.005937536144256628
0;2515;-0.005162258529663122
0;2552;-0.004228730583190954
0;2589;-0.00320657052993778
0;2626;-0.002164681339263952
0;2663;-0.0011722043991089226
0;2700;-0.0003004864692688347
0;2737;0.00038323841094967115
0;2774;0.0008265181541442512
0;2811;0.0009984179496764778
0;2848;0.000891487216949427
0;2885;0.000516275978088343
0;2922;-0.0001021818161011101
0;2959;-0.0009219244956970574
0;2996;-0.0018834070205688835
0;3033;-0.0029152230262756706
0;3070;-0.0039420918464661
0;3107;-0.004890282535553014
0;3144;-0.005692382240295446
0;3181;-0.00629272022247318
0;3218;-0.006647248649597204
0;3255;-0.006726165199279821
0;3292;-0.0065196351051330925
0;3329;-0.0060427979469299675
0;3366;-0.005335111999511755
0;3403;-0.0044569567680359246
0;3440;-0.0034797386169433953
0;3477;-0.0024733141899109246
0;3514;-0.001501698875427282
0;3551;-0.0006283716201782585
0;3588;7.979116439815748e-05
0;3625;0.0005600853919982551
0;3662;0.0007712050437926887
0;3699;0.0007034345626830696
0;3736;0.00037042341232296216
0;3773;-0.00020255603790286791
0;3810;-0.0009805754661560417
0;3847;-0.0019108251571655632
0;3884;-0.0029242233276367546
0;3921;-0.003943820381164587
0;3958;-0.004894276046752966
0;3995;-0.005707819843292272
0;4032;-0.0063275293350220085
0;4069;-0.006708343410491979
0;4106;-0.006818910026550329
0;4143;-0.00664510288238529
0;4180;-0.006195564651489294
0;4217;-0.0055041507720947624
0;4254;-0.004627485656738317
0;36;-0.004089792156219518
0;73;-0.005024214172363317
0;110;-0.005812485599517858
0;147;-0.006399472141265905
0;184;-0.006742020034790075
0;221;-0.006811161422729528
0;258;-0.006595750236511266
0;295;-0.006107886219024694
0;332;-0.005385239505767858
0;369;-0.004486818695068395
0;406;-0.003481407546997106
0;443;-0.0024380878448486687
0;480;-0.001425702953338659
0;517;-0.0005151823997497917
0;554;0.00022421321868892896
0;591;0.0007350250244140266
0;628;0.0009801789283752083
0;665;0.0009465619087218879
0;702;0.0006404324531554817
0;739;8.289060592647779e-05
0;776;-0.0006888107299805046
0;813;-0.0016195372581482292
0;850;-0.0026399091720581414
0;887;-0.003675599479675329
0;924;-0.004651387119293249
0;961;-0.005497892284393346
0;998;-0.006156404399871862
0;1035;-0.006579478168487585
0;1072;-0.006733079338073766
0;1109;-0.006601531887054479
0;1146;-0.006193299674987829
0;1183;-0.005541463279724157
0;1220;-0.004701574230194128
0;1257;-0.0037436083793640496
0;1294;-0.0027383760452270867
0;1331;-0.0017515615463257195
0;1368;-0.0008458093643188835
0;1405;-8.745946884158862e-05
0;1442;0.00045816144943233716
0;1479;0.0007426544189452766
0;1516;0.0007479592323302864
0;1553;0.00048307619094845045
0;1590;-2.952375411990893e-05
0;1627;-0.0007575944900513054
0;1664;-0.0016538695335388542
0;1701;-0.002652664566040075
0;1738;-0.00367804327011112
0;1775;-0.00465383090972904
0;1812;-0.005509634399414098
0;1849;-0.006185431861877477
0;1886;-0.006632883930206335
0;1923;-0.006817121887207067
0;1960;-0.006718714618682897
0;1997;-0.006339688682556188
0;2034;-0.005707581424713171
0;2071;-0.004873414421081579
0;2108;-0.0039035276412964226
0;2145;-0.002867539310455358
0;2182;-0.0018339351654053093
0;2219;-0.0008728698730469109
0;2256;-5.521335601810229e-05
0;2293;0.0005553766250609993
0;2330;0.0009127660751342415
0;2367;0.0009941264152526497
0;2404;0.0007983251571654915
0;2441;0.00034074029922481763
0;2478;-0.00034852781295779955
0;2515;-0.0012214974403381706
0;2552;-0.0022139743804932
0;2589;-0.00325234689712528
0;2626;-0.00426175155639652
0;2663;-0.005169351482391393
0;2700;-0.005911488914489782
0;2737;-0.006436427021026647
0;2774;-0.006704051876068151
0;2811;-0.006690163993835485
0;2848;-0.006393213653564489
0;2885;-0.0058360294342041374
0;2922;-0.005065639400482214
0;2959;-0.004147370243072546
0;2996;-0.0031534031867981316
0;3033;-0.00215138950347904
0;3070;-0.001204450511932409
0;3107;-0.00037725725173953784
0;3144;0.00026313505172725904
0;3181;0.0006592079162597297
0;3218;0.000779490089416468
0;3255;0.0006234451293944954
0;3292;0.00020955047607418287
0;3329;-0.0004345969200134636
0;3366;-0.0012686447143555046
0;3403;-0.002234120750427282
0;3440;-0.0032579497337341667
0;3477;-0.004263062858581579
0;3514;-0.0051760868072510124
0;3551;-0.0059324697494507195
0;3588;-0.006478984737396276
0;3625;-0.006774862194061315
0;3662;-0.006793756866455114
0;3699;-0.006528396987915075
0;3736;-0.005995531463623083
0;3773;-0.005236943149566686
0;3810;-0.004314561271667516
0;3847;-0.0032973484039307
0;3884;-0.002254565143585241
0;3921;-0.0012549356460571648
0;3958;-0.0003699258804321648
0;3995;0.0003327532768249153
0;4032;0.0007985039710998176
0;4069;0.0009946032524108528
0;4106;0.0009118124008178352
0;4143;0.0005591317176818489
0;4180;-3.9537334442174554e-05
0;4217;-0.0008439616203308464
0;4254;-0.0017957881927490593
0;4291;-0.0028243259429932
0;4328;-0.0038547114372253777
0;4365;-0.004812558078765905
0;4402;-0.0056297377586365105
0;4439;-0.006249566459655798
0;4476;-0.006627102279663122
0;4513;-0.006730695152282751
0;4550;-0.006548722171783483
0;4587;-0.00609423675537113
0;4624;-0.005404491806030309
0;4661;-0.004538555526733434
0;4698;-0.003566999816894567
0;4735;-0.0025604561805725456
0;4772;-0.0015833572387695671
0;4809;-0.0006987647056579949
0;4846;2.6325798034632086e-05
0;4883;0.0005285545349120735
0;4920;0.0007639332771300911
0;4957;0.000720123863220179
0;4994;0.000409464454650843
0;5031;-0.00014396467208865893
0;5068;-0.0009058312416077019
0;5105;-0.0018254117012024285
0;5142;-0.002834577941894567
0;5179;-0.00385661878585819
0;5216;-0.004816015148162878
0;5253;-0.005643983268737829
0;5290;-0.0062823490142822624
0;5327;-0.006685514831543005
0;5364;-0.006820519351959264
0;5401;-0.006671567344665563
0;5438;-0.006245036506652868
0;5475;-0.005572755718231237
0;5512;-0.004709620857238805
0;5549;-0.003722925567626989
0;5586;-0.0026823476791382195
0;5623;-0.0016563133239746453
0;5660;-0.000715573215484655
0;5697;6.953916549679029e-05
0;5734;0.0006381078720092415
0;5771;0.000947634792327845
0;5808;0.0009793444633483528
0;5845;0.0007356806755065559
0;5882;0.00023446521759029615
0;5919;-0.0004913405418396355
0;5956;-0.0013906554222107292
0;5993;-0.002396662616729772
0;6030;-0.00343545236587528
0;6067;-0.0044319228172302605
0;6104;-0.0053144887924194695
0;6141;-0.006021638298034704
0;6178;-0.006503541851043737
0;6215;-0.006722469711303747
0;6252;-0.006657977485656774
0;6289;-0.006312449359893835
0;6326;-0.005713422679901159
0;6363;-0.004911740207672155
0;6400;-0.003974874401092565
0;6437;-0.002974648857116735
0;6474;-0.0019778803825378777
0;6511;-0.0010473922729492546
0;6548;-0.0002484516143799187
0;6585;0.0003524228096007942
0;6622;0.0007009311676025032
0;6659;0.0007716222763061165
0;6696;0.0005681916236877083
0;6733;0.00011120281219478834
0;6770;-0.0005698398590088249
0;6807;-0.0014319018363952996
0;6844;-0.002413411521911657
0;6881;-0.003439565086364782
0;6918;-0.004433412933349645
0;6955;-0.005323250675201452
0;6992;-0.006045956993103063
0;7029;-0.00655056991577152
0;7066;-0.006798942470550573
0;7103;-0.006767292404174841
0;7140;-0.006452758693695104
0;7177;-0.0058760837554932
0;7214;-0.005083640003204382
0;7251;-0.004139383220672643
0;7288;-0.003112752819061315
0;7325;-0.0020722941398620964
0;7362;-0.001087744617462194
0;7399;-0.00023033180236819994
0;7436;0.0004336639404296516
0;7473;0.0008534594535827278
0;7510;0.001000265693664515
0;7547;0.0008684798240661262
0;7584;0.0004701419830321907
0;7621;-0.00016846218109134448
0;7658;-0.001003642463684118
0;7695;-0.0019744829177856804
0;7732;-0.0030088619232178093
0;7769;-0.0040316776275635124
0;7806;-0.004969318294525182
0;7843;-0.0057553247451782585
0;7880;-0.006335337543487585
0;7917;-0.006666083717346227
0;7954;-0.006719251060485876
0;7991;-0.006487388992309606
0;8028;-0.005987842464447057
0;8065;-0.005262036705017126
0;8102;-0.004372079753875768
0;8139;-0.003389377975463903
0;8176;-0.0023836091995239617
0;8213;-0.0014181927680969597
0;8250;-0.0005567864418030144
0;8287;0.00013319692611690748
0;8324;0.000590424156188929
0;8361;0.0007763906478881477
0;8398;0.000684122657775843
0;8435;0.0003284021377563118
0;8472;-0.0002649024963379265
0;8509;-0.0010588363647461296
0;8546;-0.0019996956825256706
0;8583;-0.003016908550262487
0;8620;-0.004033167743682897
0;8657;-0.004974027061462438
0;8694;-0.005772312068939245
0;8731;-0.006372113609314001
0;8768;-0.006729622268676794
0;8805;-0.006814916515350378
0;8842;-0.006615717792511022
0;8879;-0.006142576122283971
0;8916;-0.005431969547271764
0;8953;-0.004541833782196081
0;8990;-0.0035406545639038445
0;9027;-0.0024975732803345085
0;9064;-0.0014814929008484246
0;9101;-0.000563283348083532
0;9138;0.00018761596679683912
0;9175;0.0007126732826232551
0;9212;0.0009736224174499153
0;9249;0.0009560390472411751
0;9286;0.0006649299621581672
0;9323;0.00012103757858272779
0;9360;-0.0006398157119751335
0;9397;-0.0015631512641907097
0;9434;-0.0025804237365723015
0;9471;-0.0036171273231506706
0;9508;-0.0045983985900879265
0;9545;-0.005454082870483434
0;9582;-0.006124635124206579
0;9619;-0.006562312030792272
0;9656;-0.0067318872451782585
0;9693;-0.006616790676116979
0;9730;-0.006223698043823278
0;9767;-0.005584438228607214
0;9804;-0.004753668689727819
0;9841;-0.0038003520011902214
0;9878;-0.002796073341369665
0;9915;-0.0018064574241638542
0;9952;-0.0008943275451660515
0;9989;-0.0001257852554321648
0;10026;0.0004336639404296516
0;10063;0.0007338925361632942
0;10100;0.0007551117897033333
0;10137;0.000505129909515345
0;10174;5.821800231897711e-06
0;10211;-0.0007109240531921746
0;10248;-0.0015990332603454949
0;10285;-0.0025940135955810906
0;10322;-0.003620047950744665
0;10359;-0.004600603961944616
0;10396;-0.005465050125122106
0;10433;-0.006152470493316686
0;10470;-0.006614168071746862
0;10507;-0.006814082050323522
0;10544;-0.006732006454467809
0;10581;-0.006368596935272253
0;10618;-0.005749781513214147
0;10655;-0.00492550888061527
0;10692;-0.003961582565307653
0;10729;-0.0029274419784546257
0;10766;-0.0018918112754822136
0;10803;-0.0009246663093567253
0;10840;-9.699621200565112e-05
0;10877;0.0005269452095031379
0;10914;0.0008997126579284309
0;10951;0.0009971066474914192
0;10988;0.0008168025970458626
0;11025;0.00037358245849605787
0;11062;-0.00030352630615237963
0;11099;-0.0011677936553955437
0;11136;-0.002155204200744665
0;11173;-0.0031930402755737664
0;11210;-0.004205961608886755
0;11247;-0.005121190929412878
0;11284;-0.00587453403472904
0;11321;-0.006412942790985143
